;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1996-04-30;1,00895;0,968195;0,508622;6,099774;2,603999;-1,999105;1,000302;1,01378;0,63126;1,007501;-0,463359;5,839006;0,995158
1996-05-31;1,00128;1,0049;0,28897;2,063725;0,605705;1,479527;1,031639;1,013835;-1,065769;1,006826;0,35658;2,114236;0,994165
1996-06-30;0,997607;1,002831;-12,986961;-3,761224;-6,954885;-3,369176;0,972688;0,875661;-3,093902;0,966429;-3,781846;3,699562;1,001129
1996-07-31;1,005102;0,6256;11,697326;8,579053;-6,525159;-0,607491;1,134864;1,043451;-0,531909;1,021628;1,127136;0,432747;0,99974
1996-08-31;1,015852;0,938131;0,140592;-1,116597;-4,3798;5,508676;1,066695;0,999956;2,417481;1,000599;0,152259;-6,896962;1,002561
1996-09-30;0,996596;1,16044;-6,70629;-3,550118;-2,414892;-0,658474;1,034757;0,952038;0,640461;0,99253;-0,666824;0,361258;0,999602
1996-10-31;0,984759;1,03664;17,417772;4,33438;7,616627;6,001479;1,081343;1,028595;11,058918;1,014783;1,436777;2,618795;1,002766
1996-11-30;1,004265;1,006738;-6,100822;-5,085208;5,269305;-2,686733;0,989393;0,976083;-1,555586;0,990431;-0,980772;-3,278415;1,004529
1996-12-31;1,000774;0,999357;5,092685;0,375003;-28,732726;-8,9169;1,012191;1,014646;2,477547;0,989575;-0,716232;0,353582;1,001809
1997-01-31;0,992994;0,987232;-0,742599;-14,433616;1,962305;-4,039043;1,047093;1,038764;0,500663;1,018114;1,533305;8,396249;0,989332
1997-02-28;1,024951;0,971898;7,608793;5,542308;12,221694;0,127787;1,018666;0,990029;-1,112928;1,003937;0,143367;0,229221;0,994267
1997-03-31;0,997794;0,987515;-8,659012;-4,076471;-31,960176;-4,338698;0,970786;0,935288;-5,111641;0,96269;-5,943576;-2,00008;1,000096
1997-04-30;1,006494;1,03883;48,208705;14,460873;9,165113;7,026626;1,124117;1,058053;2,054605;1,059759;5,536623;2,471747;1,001055
1997-05-31;0,994097;0,986783;-5,435071;-1,050414;-9,297732;3,486676;0,990393;0,99039;1,068361;0,99974;-0,162348;-5,914363;1,003017
1997-06-30;0,971974;1,035066;0,48273;-1,597437;5,823622;0,633191;0,995323;0,954134;-1,195535;0,990651;-1,309081;-0,344476;0,998312
1997-07-31;1,009273;1,007855;-0,129121;5,504732;7,160287;-0,346459;1,046768;1,050448;0,087989;1,009431;0,609427;-7,452797;0,998421
1997-08-31;0,984152;0,96925;-10,117221;-3,531439;-3,186266;2,514725;0,944478;0,942336;-2,527416;0,976375;-2,354338;2,186502;1,004073
1997-09-30;1,002378;1,006285;4,900226;2,23069;2,451376;-7,358064;1,019082;1,028377;2,77648;0,996366;-0,246322;7,921476;0,99668
1997-10-31;1,008889;0,975848;9,11428;3,419899;3,09137;11,307413;1,025376;1,023373;9,582832;1,023838;2,550683;3,217929;1,000754
1997-11-30;0,99109;0,976919;3,29549;-4,000458;-9,829435;-2,336477;0,94543;0,933699;-2,680873;0,98462;-1,333148;-2,788463;0,997881
